epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.802,1.09865,2.95977,1.34483,0.74887,0.74754,0.81489,0.58355,1.03591,1.18883,1.3753,0.0001329,0.0001329,0.0001329
2,224.077,1.05282,1.19746,1.26519,0.78973,0.76774,0.85943,0.62028,1.02628,0.97602,1.34803,0.000262939,0.000262939,0.000262939
3,325.127,1.05336,1.07025,1.25134,0.88027,0.86944,0.90337,0.65571,1.05555,0.74882,1.34231,0.000389678,0.000389678,0.000389678
4,422.266,1.03114,0.97379,1.23063,0.86638,0.91965,0.92496,0.68147,1.02155,0.63991,1.30784,0.00038515,0.00038515,0.00038515
5,518.005,0.99908,0.86628,1.2002,0.88137,0.90652,0.94623,0.69413,1.01235,0.62114,1.25949,0.0003802,0.0003802,0.0003802
6,615.583,0.97901,0.84144,1.18899,0.89579,0.89295,0.93892,0.70431,0.97388,0.5933,1.249,0.00037525,0.00037525,0.00037525
7,713.69,0.96816,0.80371,1.18247,0.92169,0.90231,0.95018,0.69155,1.06181,0.55668,1.2907,0.0003703,0.0003703,0.0003703
8,809.717,0.95207,0.75945,1.17335,0.91446,0.94346,0.95777,0.72425,0.94601,0.51647,1.22745,0.00036535,0.00036535,0.00036535
9,905.604,0.92634,0.73106,1.15296,0.89811,0.9519,0.96089,0.72073,0.98845,0.49846,1.25214,0.0003604,0.0003604,0.0003604
10,1001.47,0.91249,0.71441,1.14053,0.94258,0.94424,0.96301,0.74001,0.94148,0.46158,1.20643,0.00035545,0.00035545,0.00035545
11,1097.4,0.89085,0.66207,1.12652,0.93991,0.91328,0.95634,0.7133,1.03774,0.50798,1.28026,0.0003505,0.0003505,0.0003505
12,1193.89,0.89638,0.66178,1.13333,0.93662,0.9323,0.95626,0.72554,0.94614,0.49192,1.19473,0.00034555,0.00034555,0.00034555
13,1289.99,0.8793,0.64176,1.12053,0.91611,0.94542,0.95541,0.72436,0.96095,0.47236,1.2248,0.0003406,0.0003406,0.0003406
14,1385.34,0.86879,0.63415,1.11693,0.92971,0.94468,0.95938,0.7425,0.94642,0.4367,1.20779,0.00033565,0.00033565,0.00033565
15,1481.86,0.8545,0.614,1.10768,0.94324,0.94901,0.96442,0.73522,0.9265,0.4286,1.17852,0.0003307,0.0003307,0.0003307
16,1578.44,0.85027,0.60601,1.10645,0.93363,0.93304,0.95467,0.72478,0.9482,0.45143,1.20979,0.00032575,0.00032575,0.00032575
17,1675.16,0.83908,0.59667,1.09825,0.94608,0.92205,0.9646,0.75224,0.91798,0.42035,1.17327,0.0003208,0.0003208,0.0003208
18,1777.65,0.8336,0.58759,1.09466,0.95078,0.93264,0.96556,0.73905,0.96212,0.44598,1.19398,0.00031585,0.00031585,0.00031585
19,1880.37,0.80994,0.56794,1.0809,0.9543,0.95901,0.96501,0.74237,0.94338,0.41771,1.18439,0.0003109,0.0003109,0.0003109
20,1981.89,0.79976,0.55545,1.07657,0.94225,0.9474,0.96251,0.73856,0.92053,0.39815,1.19094,0.00030595,0.00030595,0.00030595
21,2081.58,0.80146,0.54472,1.07421,0.94127,0.94422,0.96488,0.7402,0.95218,0.38883,1.22106,0.000301,0.000301,0.000301
22,2178.09,0.77907,0.53138,1.06524,0.94915,0.95378,0.96581,0.73619,0.9732,0.39157,1.24283,0.00029605,0.00029605,0.00029605
23,2273.48,0.78374,0.53261,1.06684,0.90784,0.93286,0.95105,0.73303,0.94642,0.42668,1.20761,0.0002911,0.0002911,0.0002911
24,2369.8,0.77288,0.52068,1.06214,0.92185,0.95085,0.9609,0.72522,0.97839,0.42725,1.24336,0.00028615,0.00028615,0.00028615
